2022-03-22 15:06:39.256406: I tensorflow/stream_executor/platform/default/dso_loader.cc:44] Successfully opened dynamic library libcuda.so.1
2022-03-22 15:06:39.293148: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1618] Found device 0 with properties: 
name: Quadro RTX 4000 major: 7 minor: 5 memoryClockRate(GHz): 1.545
pciBusID: 0000:21:00.0
2022-03-22 15:06:39.293568: W tensorflow/stream_executor/platform/default/dso_loader.cc:55] Could not load dynamic library 'libcudart.so.10.0'; dlerror: libcudart.so.10.0: cannot open shared object file: No such file or directory
2022-03-22 15:06:39.293659: W tensorflow/stream_executor/platform/default/dso_loader.cc:55] Could not load dynamic library 'libcublas.so.10.0'; dlerror: libcublas.so.10.0: cannot open shared object file: No such file or directory
2022-03-22 15:06:39.293739: W tensorflow/stream_executor/platform/default/dso_loader.cc:55] Could not load dynamic library 'libcufft.so.10.0'; dlerror: libcufft.so.10.0: cannot open shared object file: No such file or directory
2022-03-22 15:06:39.293822: W tensorflow/stream_executor/platform/default/dso_loader.cc:55] Could not load dynamic library 'libcurand.so.10.0'; dlerror: libcurand.so.10.0: cannot open shared object file: No such file or directory
2022-03-22 15:06:39.293911: W tensorflow/stream_executor/platform/default/dso_loader.cc:55] Could not load dynamic library 'libcusolver.so.10.0'; dlerror: libcusolver.so.10.0: cannot open shared object file: No such file or directory
2022-03-22 15:06:39.293985: W tensorflow/stream_executor/platform/default/dso_loader.cc:55] Could not load dynamic library 'libcusparse.so.10.0'; dlerror: libcusparse.so.10.0: cannot open shared object file: No such file or directory
2022-03-22 15:06:39.294066: W tensorflow/stream_executor/platform/default/dso_loader.cc:55] Could not load dynamic library 'libcudnn.so.7'; dlerror: libcudnn.so.7: cannot open shared object file: No such file or directory
2022-03-22 15:06:39.294101: W tensorflow/core/common_runtime/gpu/gpu_device.cc:1641] Cannot dlopen some GPU libraries. Please make sure the missing libraries mentioned above are installed properly if you would like to use GPU. Follow the guide at https://www.tensorflow.org/install/gpu for how to download and setup the required libraries for your platform.
Skipping registering GPU devices...
2022-03-22 15:06:39.294756: I tensorflow/core/platform/cpu_feature_guard.cc:142] Your CPU supports instructions that this TensorFlow binary was not compiled to use: AVX2 FMA
2022-03-22 15:06:39.329269: I tensorflow/core/platform/profile_utils/cpu_utils.cc:94] CPU Frequency: 2350000000 Hz
2022-03-22 15:06:39.353729: I tensorflow/compiler/xla/service/service.cc:168] XLA service 0x562322ec1a80 executing computations on platform Host. Devices:
2022-03-22 15:06:39.353941: I tensorflow/compiler/xla/service/service.cc:175]   StreamExecutor device (0): Host, Default Version
2022-03-22 15:06:39.601666: I tensorflow/compiler/xla/service/service.cc:168] XLA service 0x562322f252b0 executing computations on platform CUDA. Devices:
2022-03-22 15:06:39.601817: I tensorflow/compiler/xla/service/service.cc:175]   StreamExecutor device (0): Quadro RTX 4000, Compute Capability 7.5
2022-03-22 15:06:39.602199: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1159] Device interconnect StreamExecutor with strength 1 edge matrix:
2022-03-22 15:06:39.602219: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1165]      
---------------------------------------------------------------
Program developed by Vinicius L S Silva (vs1819) - 14.04.2021
---------------------------------------------------------------
weight_pod:  tf.Tensor(
[5.56196868e-01 2.03024685e-01 8.77208859e-02 4.96064164e-02
 4.05909568e-02 1.79590061e-02 1.43773295e-02 1.33153498e-02
 4.74109687e-03 3.75490240e-03 3.47938458e-03 2.55672471e-03
 1.36965106e-03 9.87468055e-04 3.19285289e-04], shape=(15,), dtype=float32)

weight_R0_p:  tf.Tensor([0.005 0.005], shape=(2,), dtype=float32)

weight_R0_da:  tf.Tensor([5.e-05 5.e-05], shape=(2,), dtype=float32)

weight_obs tf.Tensor(0.00027777778, shape=(), dtype=float32)

weight_reg tf.Tensor(1e-04, shape=(), dtype=float32)


Iteration 0: forward and backward
Weight_R0:  0.005
-- Forward March --
Initial point losses: 
0:  ['2.34e-03', '3.51e-04', '1.98e-03', '1.96e-06', '2.72e-04']
1:  ['2.34e-03', '3.54e-04', '1.99e-03', '1.99e-06', '2.81e-04']
2:  ['2.30e-03', '3.56e-04', '1.94e-03', '2.08e-06', '2.87e-04']
3:  ['2.36e-03', '3.52e-04', '2.01e-03', '1.97e-06', '2.73e-04']
4:  ['2.29e-03', '3.49e-04', '1.94e-03', '2.00e-06', '2.63e-04']
5:  ['2.31e-03', '3.53e-04', '1.96e-03', '1.99e-06', '2.76e-04']
6:  ['2.35e-03', '3.53e-04', '1.99e-03', '1.99e-06', '2.81e-04']
7:  ['2.34e-03', '3.54e-04', '1.98e-03', '2.02e-06', '2.83e-04']
8:  ['2.33e-03', '3.52e-04', '1.98e-03', '1.97e-06', '2.74e-04']
9:  ['2.34e-03', '3.51e-04', '1.98e-03', '1.94e-06', '2.72e-04']
10:  ['2.33e-03', '3.54e-04', '1.98e-03', '2.60e-06', '2.58e-04']
11:  ['2.49e-03', '3.87e-04', '2.10e-03', '3.11e-06', '4.30e-04']
12:  ['2.31e-03', '3.98e-04', '1.91e-03', '2.90e-06', '4.66e-04']
13:  ['2.27e-03', '3.38e-04', '1.93e-03', '2.52e-06', '2.19e-04']
14:  ['2.38e-03', '3.87e-04', '1.99e-03', '3.10e-06', '4.56e-04']
15:  ['2.41e-03', '3.45e-04', '2.06e-03', '2.87e-06', '2.64e-04']
16:  ['2.44e-03', '3.86e-04', '2.05e-03', '3.04e-06', '4.48e-04']
17:  ['2.48e-03', '3.54e-04', '2.12e-03', '3.10e-06', '2.72e-04']
18:  ['2.52e-03', '3.93e-04', '2.13e-03', '2.69e-06', '4.50e-04']
19:  ['2.48e-03', '3.89e-04', '2.09e-03', '3.34e-06', '4.64e-04']
20:  ['2.30e-03', '3.71e-04', '1.80e-03', '1.26e-04', '5.95e-05']
21: * ['1.00e-03', '4.28e-04', '4.71e-04', '1.03e-04', '5.63e-04']
22:  ['1.38e-03', '4.93e-04', '7.79e-04', '1.12e-04', '5.29e-04']
23:  ['3.28e-02', '4.63e-04', '3.23e-02', '1.10e-04', '1.62e-04']
24:  ['3.22e-02', '4.96e-04', '3.16e-02', '1.06e-04', '3.05e-05']
25:  ['6.30e-03', '8.87e-04', '5.31e-03', '1.07e-04', '1.27e-03']
26:  ['2.65e-03', '5.42e-04', '1.98e-03', '1.36e-04', '4.39e-04']
27:  ['5.22e-03', '1.43e-04', '4.98e-03', '9.47e-05', '2.08e-04']
28:  ['7.54e-03', '3.07e-04', '7.14e-03', '9.95e-05', '7.27e-04']
29:  ['2.67e-03', '4.19e-04', '2.16e-03', '9.15e-05', '4.51e-04']

Loss iteration 0: ['1.00e-03', '4.28e-04', '4.71e-04', '1.03e-04', '5.63e-04']
Loss iteration 1: ['3.14e-04', '1.91e-04', '2.19e-05', '1.01e-04', '0.00e+00'] - 7s
Loss iteration 2: ['3.90e-04', '2.72e-04', '1.97e-05', '9.83e-05', '0.00e+00'] - 7s
Loss iteration 3: ['3.57e-04', '2.42e-04', '1.93e-05', '9.54e-05', '0.00e+00'] - 7s
Loss iteration 4: ['3.17e-04', '2.10e-04', '1.43e-05', '9.28e-05', '0.00e+00'] - 8s
Loss iteration 5: ['4.50e-04', '3.52e-04', '6.86e-06', '9.18e-05', '0.00e+00'] - 3s
Loss iteration 6: ['2.73e-04', '1.73e-04', '1.01e-05', '9.08e-05', '0.00e+00'] - 3s
Loss iteration 7: ['5.14e-04', '4.06e-04', '2.00e-05', '8.82e-05', '0.00e+00'] - 8s
Loss iteration 8: ['3.78e-04', '2.74e-04', '1.65e-05', '8.77e-05', '0.00e+00'] - 7s
Loss iteration 9: ['3.53e-04', '2.44e-04', '2.17e-05', '8.71e-05', '0.00e+00'] - 4s
Loss iteration 10: ['4.23e-04', '3.22e-04', '1.45e-05', '8.69e-05', '0.00e+00'] - 7s
Loss iteration 11: ['4.84e-04', '3.87e-04', '1.12e-05', '8.60e-05', '0.00e+00'] - 7s
