2022-03-21 10:24:20.510870: I tensorflow/stream_executor/platform/default/dso_loader.cc:44] Successfully opened dynamic library libcuda.so.1
2022-03-21 10:24:20.533425: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1618] Found device 0 with properties: 
name: Quadro RTX 4000 major: 7 minor: 5 memoryClockRate(GHz): 1.545
pciBusID: 0000:21:00.0
2022-03-21 10:24:20.533661: W tensorflow/stream_executor/platform/default/dso_loader.cc:55] Could not load dynamic library 'libcudart.so.10.0'; dlerror: libcudart.so.10.0: cannot open shared object file: No such file or directory
2022-03-21 10:24:20.533746: W tensorflow/stream_executor/platform/default/dso_loader.cc:55] Could not load dynamic library 'libcublas.so.10.0'; dlerror: libcublas.so.10.0: cannot open shared object file: No such file or directory
2022-03-21 10:24:20.533818: W tensorflow/stream_executor/platform/default/dso_loader.cc:55] Could not load dynamic library 'libcufft.so.10.0'; dlerror: libcufft.so.10.0: cannot open shared object file: No such file or directory
2022-03-21 10:24:20.533890: W tensorflow/stream_executor/platform/default/dso_loader.cc:55] Could not load dynamic library 'libcurand.so.10.0'; dlerror: libcurand.so.10.0: cannot open shared object file: No such file or directory
2022-03-21 10:24:20.533986: W tensorflow/stream_executor/platform/default/dso_loader.cc:55] Could not load dynamic library 'libcusolver.so.10.0'; dlerror: libcusolver.so.10.0: cannot open shared object file: No such file or directory
2022-03-21 10:24:20.534073: W tensorflow/stream_executor/platform/default/dso_loader.cc:55] Could not load dynamic library 'libcusparse.so.10.0'; dlerror: libcusparse.so.10.0: cannot open shared object file: No such file or directory
2022-03-21 10:24:20.534152: W tensorflow/stream_executor/platform/default/dso_loader.cc:55] Could not load dynamic library 'libcudnn.so.7'; dlerror: libcudnn.so.7: cannot open shared object file: No such file or directory
2022-03-21 10:24:20.534165: W tensorflow/core/common_runtime/gpu/gpu_device.cc:1641] Cannot dlopen some GPU libraries. Please make sure the missing libraries mentioned above are installed properly if you would like to use GPU. Follow the guide at https://www.tensorflow.org/install/gpu for how to download and setup the required libraries for your platform.
Skipping registering GPU devices...
2022-03-21 10:24:20.534628: I tensorflow/core/platform/cpu_feature_guard.cc:142] Your CPU supports instructions that this TensorFlow binary was not compiled to use: AVX2 FMA
2022-03-21 10:24:20.555057: I tensorflow/core/platform/profile_utils/cpu_utils.cc:94] CPU Frequency: 2350000000 Hz
2022-03-21 10:24:20.562529: I tensorflow/compiler/xla/service/service.cc:168] XLA service 0x55f07f12d1b0 executing computations on platform Host. Devices:
2022-03-21 10:24:20.562599: I tensorflow/compiler/xla/service/service.cc:175]   StreamExecutor device (0): Host, Default Version
2022-03-21 10:24:20.676347: I tensorflow/compiler/xla/service/service.cc:168] XLA service 0x55f07f1909e0 executing computations on platform CUDA. Devices:
2022-03-21 10:24:20.676455: I tensorflow/compiler/xla/service/service.cc:175]   StreamExecutor device (0): Quadro RTX 4000, Compute Capability 7.5
2022-03-21 10:24:20.676667: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1159] Device interconnect StreamExecutor with strength 1 edge matrix:
2022-03-21 10:24:20.676675: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1165]      
---------------------------------------------------------------
Program developed by Vinicius L S Silva (vs1819) - 14.04.2021
---------------------------------------------------------------
weight_pod:  tf.Tensor(
[5.56196868e-01 2.03024685e-01 8.77208859e-02 4.96064164e-02
 4.05909568e-02 1.79590061e-02 1.43773295e-02 1.33153498e-02
 4.74109687e-03 3.75490240e-03 3.47938458e-03 2.55672471e-03
 1.36965106e-03 9.87468055e-04 3.19285289e-04], shape=(15,), dtype=float32)

weight_R0_p:  tf.Tensor([0.005 0.005], shape=(2,), dtype=float32)

weight_R0_da:  tf.Tensor([5.e-05 5.e-05], shape=(2,), dtype=float32)

weight_obs tf.Tensor(0.00027777778, shape=(), dtype=float32)

weight_reg tf.Tensor(1e-04, shape=(), dtype=float32)


Iteration 0: forward and backward
Weight_R0:  0.005
-- Forward March --
Initial point losses: 
0:  ['2.07e-04', '1.71e-04', '3.35e-05', '2.23e-06', '5.26e-05']
1:  ['2.06e-04', '1.69e-04', '3.40e-05', '2.43e-06', '5.41e-05']
2:  ['2.20e-04', '1.78e-04', '3.91e-05', '2.29e-06', '5.36e-05']
3:  ['2.09e-04', '1.72e-04', '3.46e-05', '2.29e-06', '5.29e-05']
4:  ['2.28e-04', '1.84e-04', '4.18e-05', '2.19e-06', '5.13e-05']
5:  ['2.13e-04', '1.73e-04', '3.72e-05', '2.35e-06', '5.39e-05']
6:  ['2.14e-04', '1.74e-04', '3.76e-05', '2.30e-06', '5.22e-05']
7:  ['2.08e-04', '1.70e-04', '3.49e-05', '2.39e-06', '5.35e-05']
8:  ['2.18e-04', '1.78e-04', '3.71e-05', '2.20e-06', '5.17e-05']
9:  ['2.10e-04', '1.73e-04', '3.52e-05', '2.23e-06', '5.31e-05']
10:  ['2.29e-04', '1.88e-04', '3.84e-05', '2.84e-06', '4.25e-05']
11:  ['1.76e-04', '1.57e-04', '1.52e-05', '3.45e-06', '5.06e-05']
12: * ['1.62e-04', '1.50e-04', '9.02e-06', '3.28e-06', '5.75e-05']
13:  ['2.01e-04', '1.68e-04', '3.08e-05', '2.79e-06', '5.45e-05']
14:  ['2.94e-04', '2.20e-04', '7.12e-05', '2.95e-06', '6.27e-05']
15:  ['1.98e-04', '1.64e-04', '3.11e-05', '3.18e-06', '4.12e-05']
16:  ['1.89e-04', '1.60e-04', '2.60e-05', '3.30e-06', '4.95e-05']
17:  ['2.40e-04', '1.96e-04', '3.99e-05', '3.36e-06', '5.45e-05']
18:  ['1.66e-04', '1.55e-04', '8.44e-06', '3.05e-06', '5.84e-05']
19:  ['1.63e-04', '1.53e-04', '6.66e-06', '3.87e-06', '6.56e-05']
20:  ['1.58e-03', '6.96e-04', '7.55e-04', '1.26e-04', '1.68e-04']
21:  ['8.05e-04', '5.53e-04', '1.49e-04', '1.03e-04', '1.63e-04']
22:  ['2.72e-04', '1.68e-04', '3.02e-06', '1.01e-04', '5.00e-05']
23:  ['1.10e-02', '3.04e-04', '1.06e-02', '1.10e-04', '3.94e-05']
24:  ['1.16e-02', '3.42e-04', '1.12e-02', '1.02e-04', '4.30e-05']
25:  ['2.70e-04', '1.58e-04', '5.27e-06', '1.06e-04', '1.01e-04']
26:  ['1.21e-03', '6.95e-04', '3.85e-04', '1.35e-04', '1.75e-04']
27:  ['2.18e-04', '1.12e-04', '1.13e-05', '9.44e-05', '3.43e-05']
28:  ['4.14e-04', '2.87e-04', '2.76e-05', '9.90e-05', '6.01e-05']
29:  ['3.06e-04', '2.01e-04', '1.34e-05', '9.11e-05', '5.72e-05']

Loss iteration 0: ['1.62e-04', '1.50e-04', '9.02e-06', '3.28e-06', '5.75e-05']
Loss iteration 1: ['1.48e-04', '1.34e-04', '1.07e-05', '2.97e-06', '0.00e+00'] - 6s
Loss iteration 2: ['2.55e-04', '2.40e-04', '1.08e-05', '4.02e-06', '0.00e+00'] - 6s
Loss iteration 3: ['1.31e-04', '1.21e-04', '5.36e-06', '4.27e-06', '0.00e+00'] - 1s
Loss iteration 4: ['1.89e-04', '1.81e-04', '3.12e-06', '4.91e-06', '0.00e+00'] - 3s
Loss iteration 5: ['1.83e-04', '1.74e-04', '3.69e-06', '5.12e-06', '0.00e+00'] - 2s
Loss iteration 6: ['2.52e-04', '2.43e-04', '4.20e-06', '4.98e-06', '0.00e+00'] - 3s
Loss iteration 7: ['2.31e-04', '2.23e-04', '3.89e-06', '4.77e-06', '0.00e+00'] - 6s
Loss iteration 8: ['3.83e-04', '3.74e-04', '4.20e-06', '5.27e-06', '0.00e+00'] - 3s
Loss iteration 9: ['2.71e-04', '2.64e-04', '1.80e-06', '4.98e-06', '0.00e+00'] - 2s
Loss iteration 10: ['3.25e-04', '3.19e-04', '2.57e-06', '4.10e-06', '0.00e+00'] - 6s
Loss iteration 11: ['3.62e-04', '3.56e-04', '1.65e-06', '4.40e-06', '0.00e+00'] - 6s
Loss iteration 12: ['2.82e-04', '2.72e-04', '5.57e-06', '4.00e-06', '0.00e+00'] - 6s
